actor,film_name,release_year,genre,average_rating,director,watch_count,list_count,like_count
Robert Downey Jr,Avengers: Infinity War,2018,Adventure,3.93,Anthony Russo,612293,118622,220371
Robert Downey Jr,Avengers: Endgame,2019,Adventure,3.93,Anthony Russo,525547,124185,186219
Robert Downey Jr,Spider-Man: Homecoming,2017,Science Fiction,3.65,Jon Watts,520109,92789,158257
Robert Downey Jr,The Avengers,2012,Science Fiction,3.69,Joss Whedon,634598,101140,164888
Robert Downey Jr,Captain America: Civil War,2016,Action,3.61,Anthony Russo,522999,84219,136674
Robert Downey Jr,Iron Man,2008,Adventure,3.73,Jon Favreau,552361,88776,129094
Robert Downey Jr,Zodiac,2007,Mystery,3.99,David Fincher,364380,57346,105451
Robert Downey Jr,Avengers: Age of Ultron,2015,Science Fiction,3.09,Joss Whedon,502294,70293,93963
Robert Downey Jr,Iron Man 3,2013,Action,3.11,Shane Black,435573,64662,73570
Robert Downey Jr,Iron Man 2,2010,Adventure,2.9,Jon Favreau,429954,59461,57394
Robert Downey Jr,The Incredible Hulk,2008,Adventure,2.59,Louis Leterrier,254826,47824,23334
Robert Downey Jr,Sherlock Holmes,2009,Crime,3.36,Guy Ritchie,287336,13638,44668
Robert Downey Jr,Tropic Thunder,2008,War,3.42,Ben Stiller,209825,16097,40104
Robert Downey Jr,Sherlock Holmes: A Game of Shadows,2011,Adventure,3.22,Guy Ritchie,200582,11641,26293
Robert Downey Jr,Chef,2014,Comedy,3.58,Jon Favreau,117134,13858,27634
Robert Downey Jr,Natural Born Killers,1994,Drama,3.5,Oliver Stone,101374,15320,20255
Robert Downey Jr,Kiss Kiss Bang Bang,2005,Crime,3.77,Shane Black,89994,15434,22277
Robert Downey Jr,A Scanner Darkly,2006,Thriller,3.47,Richard Linklater,54132,9285,9768
Robert Downey Jr,Due Date,2010,Comedy,2.77,Todd Phillips,93414,4841,8013
Robert Downey Jr,Short Cuts,1993,Comedy,3.99,Robert Altman,21919,10698,5266
Robert Downey Jr,Weird Science,1985,Comedy,3.11,John Hughes,45186,6509,7283
Robert Downey Jr,The Judge,2014,Drama,3.24,David Dobkin,39275,4707,5662
Robert Downey Jr,"Good Night, and Good Luck.",2005,History,3.64,George Clooney,31686,6741,5263
Robert Downey Jr,Chaplin,1992,Drama,3.51,Richard Attenborough,21005,3031,3458
Robert Downey Jr,Gothika,2003,Horror,2.5,Mathieu Kassovitz,32583,2520,1976
Robert Downey Jr,Charlie Bartlett,2007,Drama,3.25,Jon Poll,23414,2644,3375
Robert Downey Jr,Bowfinger,1999,Comedy,3.21,Frank Oz,25264,3751,3434
Robert Downey Jr,Wonder Boys,2000,Drama,3.57,Curtis Hanson,17497,3864,3077
Robert Downey Jr,U.S. Marshals,1998,Crime,2.93,Stuart Baird,21529,1608,2014
Robert Downey Jr,The Shaggy Dog,2006,Family,1.6,Brian Robbins,24480,1571,586
Robert Downey Jr,Less than Zero,1987,Drama,3.05,Marek Kanievska,10154,2069,1498
Robert Downey Jr,The Soloist,2009,Music,2.95,Joe Wright,15004,1514,1365
Robert Downey Jr,Back to School,1986,Comedy,3.11,Alan Metter,11945,1924,1859
Robert Downey Jr,Only You,1994,Romance,3.1,Norman Jewison,9586,1416,1670
Robert Downey Jr,Richard III,1995,War,3.63,Richard Loncraine,5321,1436,962
Robert Downey Jr,Soapdish,1991,Comedy,3.17,Michael Hoffman,6871,1347,1206
Robert Downey Jr,A Guide to Recognizing Your Saints,2006,Drama,3.31,Dito Montiel,5570,966,734
Robert Downey Jr,Eros,2004,Romance,3,Steven Soderbergh,3134,519,293
Robert Downey Jr,Home for the Holidays,1995,Romance,3.2,Jodie Foster,5199,1389,893
Robert Downey Jr,Marvel One-Shot: The Consultant,2011,Science Fiction,2.93,Leythum,6907,948,817
Robert Downey Jr,The Pick-up Artist,1987,Comedy,2.63,James Toback,4529,998,393
Robert Downey Jr,Heart and Souls,1993,Comedy,3.34,Ron Underwood,5591,1024,1020
Robert Downey Jr,Fur: An Imaginary Portrait of Diane Arbus,2006,Drama,3.11,Steven Shainberg,4154,748,563
Robert Downey Jr,Air America,1990,Comedy,2.69,Roger Spottiswoode,6394,750,491
Robert Downey Jr,Tuff Turf,1985,Action,3.01,Fritz Kiersch,2418,1663,434
Robert Downey Jr,In Dreams,1999,Thriller,2.54,Neil Jordan,3289,736,216
Robert Downey Jr,Chances Are,1989,Comedy,2.99,Emile Ardolino,3220,689,439
Robert Downey Jr,Johnny Be Good,1988,Comedy,2.17,Bud Smith,3023,514,174
Robert Downey Jr,The Gingerbread Man,1998,Thriller,2.7,Robert Altman,2758,589,173
Robert Downey Jr,The Singing Detective,2003,Music,2.62,Keith Gordon,2332,467,157
Robert Downey Jr,Greaser's Palace,1972,Comedy,3.23,Robert Downey Sr.,755,559,149
Robert Downey Jr,1969,1988,War,2.73,Ernest Thompson,1332,367,140
Robert Downey Jr,Lucky You,2007,Drama,2.56,Curtis Hanson,2388,489,96
Robert Downey Jr,Restoration,1995,Drama,3,Michael Hoffman,1717,528,161
Robert Downey Jr,Two Girls and a Guy,1997,Romance,2.62,James Toback,2212,327,179
Robert Downey Jr,Baby It's You,1983,Comedy,3.41,John Sayles,819,448,166
Robert Downey Jr,True Believer,1989,Drama,3.13,Joseph Ruben,1311,370,175
Robert Downey Jr,Black and White,1999,Drama,2.48,James Toback,1450,308,84
Robert Downey Jr,Annie Leibovitz: Life Through a Lens,2006,Documentary,3.47,Barbara Leibovitz,865,284,125
Robert Downey Jr,Firstborn,1984,Drama,3.12,Michael Apted,885,296,152
Robert Downey Jr,One Night Stand,1997,Drama,2.7,Mike Figgis,1298,226,95
Robert Downey Jr,Dear America: Letters Home from Vietnam,1987,Documentary,3.67,Bill Couturié,625,320,95
Robert Downey Jr,Two Tons of Turquoise to Taos Tonight,1975,Comedy,3.07,Robert Downey Sr.,438,449,77
Robert Downey Jr,"Marvel: 75 Years, From Pulp to Pop!",2014,Documentary,3.24,Zak Knutson,948,222,148
Robert Downey Jr,Game 6,2005,Drama,3.01,Michael Hoffman,676,205,73
Robert Downey Jr,Charlie: The Life and Art of Charles Chaplin,2003,Documentary,3.62,Richard Schickel,687,157,95
Robert Downey Jr,Up the Academy,1980,Comedy,2.43,Robert Downey Sr.,562,309,45
Robert Downey Jr,"Vanity Fair: Killers Kill, Dead Men Die",2007,Documentary,2.47,Annie Leibovitz,414,56,15
Robert Downey Jr,Pound,1970,Comedy,3.13,Robert Downey Sr.,200,141,33
Robert Downey Jr,Love and Distrust,2010,Romance,2.22,Lorraine Bracco,365,87,18
Robert Downey Jr,Hail Caesar,1994,Comedy,1.95,Anthony Michael Hall,395,196,13
Robert Downey Jr,Hugo Pool,1997,Comedy,2.53,Robert Downey Sr.,474,112,25
Robert Downey Jr,I Am Steve McQueen,2014,Documentary,3.29,Jeff Renfroe,337,46,52
Robert Downey Jr,The Last Party,1993,Documentary,3.24,Marc Levin,179,48,33
Robert Downey Jr,Friends & Lovers,1999,Romance,2.45,George Haas,198,91,5
Robert Downey Jr,Danger Zone,1996,Action,2.44,Allan Eastman,145,102,8
Robert Downey Jr,Too Much Sun,1990,Comedy,2.77,Robert Downey Sr.,79,81,11
Robert Downey Jr,Hubert Selby Jr: It/ll Be Better Tomorrow,2006,Documentary,3.52,Michael W. Dean,121,39,28
Robert Downey Jr,"Luck, Trust & Ketchup: Robert Altman in Carver Country",1993,Documentary,3.52,Mike Kaplan,137,75,24
Robert Downey Jr,Whatever We Do,2003,Comedy,2.8,Kevin Connolly,172,61,9
